year,month,option,A*,A,B,C,D,E,F,G
2022,m,CY,144,125,106,88,76,64,52,40
2021,w,CX,140,120,100,80,68,57,46,35
2021,w,CY,137,117,97,77,66,55,44,33
2021,w,CZ,143,122,101,80,65,51,38,25
2021,s,CX,145,123,101,79,68,57,46,35
2021,s,CY,147,125,103,81,69,58,47,36
2021,s,CZ,144,122,100,79,68,57,46,35
2021,m,CY,140,123,106,89,75,62,49,36
2020,w,CX,152,129,106,84,71,58,46,34
2020,w,CY,155,136,117,98,84,71,58,45
2020,w,CZ,161,131,111,91,76,61,48,35
2020,m,CY,157,139,121,104,90,77,62,47
2019,w,CX,166,142,118,95,83,71,58,45
2019,w,CY,172,140,118,97,84,71,57,43
2019,w,CZ,164,144,124,104,88,73,59,45
2019,s,CX,150,127,104,81,69,58,48,38
2019,s,CY,158,136,114,93,80,67,55,43
2019,s,CZ,143,123,103,83,73,63,52,41
2019,m,CY,164,145,126,108,94,80,64,48
